,Date,inventario_final_semanal
0,2014-01-02,
1,2014-01-03,326737.0
2,2014-01-06,
3,2014-01-07,
4,2014-01-08,326737.0
5,2014-01-09,
6,2014-01-10,
7,2014-01-13,
8,2014-01-14,
9,2014-01-15,319079.0
10,2014-01-16,
11,2014-01-17,
12,2014-01-21,
13,2014-01-22,
14,2014-01-23,320069.0
15,2014-01-24,
16,2014-01-27,
17,2014-01-28,
18,2014-01-29,326490.0
19,2014-01-30,
20,2014-01-31,
21,2014-02-03,
22,2014-02-04,
23,2014-02-05,326930.0
24,2014-02-06,
25,2014-02-07,
26,2014-02-10,
27,2014-02-11,
28,2014-02-12,329983.0
29,2014-02-13,
30,2014-02-14,
31,2014-02-18,
32,2014-02-19,
33,2014-02-20,330956.0
34,2014-02-21,
35,2014-02-24,
36,2014-02-25,
37,2014-02-26,331024.0
38,2014-02-27,
39,2014-02-28,
40,2014-03-03,
41,2014-03-04,
42,2014-03-05,332453.0
43,2014-03-06,
44,2014-03-07,
45,2014-03-10,
46,2014-03-11,
47,2014-03-12,338333.0
48,2014-03-13,
49,2014-03-14,
50,2014-03-17,
51,2014-03-18,
52,2014-03-19,344183.0
53,2014-03-20,
54,2014-03-21,
55,2014-03-24,
56,2014-03-25,
57,2014-03-26,350802.0
58,2014-03-27,
59,2014-03-28,
60,2014-03-31,
61,2014-04-01,
62,2014-04-02,348423.0
63,2014-04-03,
64,2014-04-04,
65,2014-04-07,
66,2014-04-08,
67,2014-04-09,352341.0
68,2014-04-10,
69,2014-04-11,
70,2014-04-14,
71,2014-04-15,
72,2014-04-16,362354.0
73,2014-04-17,
74,2014-04-21,
75,2014-04-22,
76,2014-04-23,362354.0
77,2014-04-24,
78,2014-04-25,
79,2014-04-28,
80,2014-04-29,
81,2014-04-30,367576.0
82,2014-05-01,
83,2014-05-02,
84,2014-05-05,
85,2014-05-06,
86,2014-05-07,366004.0
87,2014-05-08,
88,2014-05-09,
89,2014-05-12,
90,2014-05-13,
91,2014-05-14,366951.0
92,2014-05-15,
93,2014-05-16,
94,2014-05-19,
95,2014-05-20,
96,2014-05-21,359725.0
97,2014-05-22,
98,2014-05-23,
99,2014-05-27,
100,2014-05-28,
101,2014-05-29,361382.0
102,2014-05-30,
103,2014-06-02,
104,2014-06-03,
105,2014-06-04,357951.0
106,2014-06-05,
107,2014-06-06,
108,2014-06-09,
109,2014-06-10,
110,2014-06-11,355221.0
111,2014-06-12,
112,2014-06-13,
113,2014-06-16,
114,2014-06-17,
115,2014-06-18,354642.0
116,2014-06-19,
117,2014-06-20,
118,2014-06-23,
119,2014-06-24,
120,2014-06-25,356384.0
121,2014-06-26,
122,2014-06-27,
123,2014-06-30,
124,2014-07-01,
125,2014-07-02,353229.0
126,2014-07-03,
127,2014-07-07,
128,2014-07-08,
129,2014-07-09,353229.0
130,2014-07-10,
131,2014-07-11,
132,2014-07-14,
133,2014-07-15,
134,2014-07-16,343297.0
135,2014-07-17,
136,2014-07-18,
137,2014-07-21,
138,2014-07-22,
139,2014-07-23,339328.0
140,2014-07-24,
141,2014-07-25,
142,2014-07-28,
143,2014-07-29,
144,2014-07-30,335631.0
145,2014-07-31,
146,2014-08-01,
147,2014-08-04,
148,2014-08-05,
149,2014-08-06,334167.0
150,2014-08-07,
151,2014-08-08,
152,2014-08-11,
153,2014-08-12,
154,2014-08-13,335568.0
155,2014-08-14,
156,2014-08-15,
157,2014-08-18,
158,2014-08-19,
159,2014-08-20,331094.0
160,2014-08-21,
161,2014-08-22,
162,2014-08-25,
163,2014-08-26,
164,2014-08-27,329024.0
165,2014-08-28,
166,2014-08-29,
167,2014-09-02,
168,2014-09-03,
169,2014-09-04,328119.0
170,2014-09-05,
171,2014-09-08,
172,2014-09-09,
173,2014-09-10,327428.0
174,2014-09-11,
175,2014-09-12,
176,2014-09-15,
177,2014-09-16,
178,2014-09-17,331101.0
179,2014-09-18,
180,2014-09-19,
181,2014-09-22,
182,2014-09-23,
183,2014-09-24,326828.0
184,2014-09-25,
185,2014-09-26,
186,2014-09-29,
187,2014-09-30,
188,2014-10-01,325465.0
189,2014-10-02,
190,2014-10-03,
191,2014-10-06,
192,2014-10-07,
193,2014-10-08,330380.0
194,2014-10-09,
195,2014-10-10,
196,2014-10-13,
197,2014-10-14,
198,2014-10-15,
199,2014-10-16,339303.0
200,2014-10-17,
201,2014-10-20,
202,2014-10-21,
203,2014-10-22,346414.0
204,2014-10-23,
205,2014-10-24,
206,2014-10-27,
207,2014-10-28,
208,2014-10-29,348475.0
209,2014-10-30,
210,2014-10-31,
211,2014-11-03,
212,2014-11-04,
213,2014-11-05,348935.0
214,2014-11-06,
215,2014-11-07,
216,2014-11-10,
217,2014-11-11,
218,2014-11-12,
219,2014-11-13,346150.0
220,2014-11-14,
221,2014-11-17,
222,2014-11-18,
223,2014-11-19,348758.0
224,2014-11-20,
225,2014-11-21,
226,2014-11-24,
227,2014-11-25,
228,2014-11-26,350704.0
229,2014-11-28,
230,2014-12-01,
231,2014-12-02,
232,2014-12-03,347015.0
233,2014-12-04,
234,2014-12-05,
235,2014-12-08,
236,2014-12-09,
237,2014-12-10,348313.0
238,2014-12-11,
239,2014-12-12,
240,2014-12-15,
241,2014-12-16,
242,2014-12-17,347466.0
243,2014-12-18,
244,2014-12-19,
245,2014-12-22,
246,2014-12-23,
247,2014-12-24,354733.0
248,2014-12-26,
249,2014-12-29,
250,2014-12-30,
251,2014-12-31,352979.0
252,2015-01-02,
253,2015-01-05,
254,2015-01-06,
255,2015-01-07,348806.0
256,2015-01-08,
257,2015-01-09,
258,2015-01-12,
259,2015-01-13,
260,2015-01-14,354195.0
261,2015-01-15,
262,2015-01-16,
263,2015-01-20,
264,2015-01-21,
265,2015-01-22,364266.0
266,2015-01-23,
267,2015-01-26,
268,2015-01-27,
269,2015-01-28,373140.0
270,2015-01-29,
271,2015-01-30,
272,2015-02-02,
273,2015-02-03,
274,2015-02-04,379473.0
275,2015-02-05,
276,2015-02-06,
277,2015-02-09,
278,2015-02-10,
279,2015-02-11,383800.0
280,2015-02-12,
281,2015-02-13,
282,2015-02-17,
283,2015-02-18,
284,2015-02-19,391516.0
285,2015-02-20,
286,2015-02-23,
287,2015-02-24,
288,2015-02-25,399943.0
289,2015-02-26,
290,2015-02-27,
291,2015-03-02,
292,2015-03-03,
293,2015-03-04,410246.0
294,2015-03-05,
295,2015-03-06,
296,2015-03-09,
297,2015-03-10,
298,2015-03-11,415425.0
299,2015-03-12,
300,2015-03-13,
301,2015-03-16,
302,2015-03-17,
303,2015-03-18,425047.0
304,2015-03-19,
305,2015-03-20,
