Weekly U.S. Exports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCREXUS2&f=W
15:36:39 GMT+0200 (hora de verano de Europa central)
Data source: U.S. Energy Information Administration
Week of,Weekly U.S. Exports of Crude Oil Thousand Barrels per Day
08/30/2024,3756
08/23/2024,3671
08/16/2024,4045
08/9/2024,3756
08/2/2024,3638
07/26/2024,4919
07/19/2024,4186
07/12/2024,3964
07/5/2024,3999
06/28/2024,4401
06/21/2024,3910
06/14/2024,4418
06/7/2024,3188
05/31/2024,4501
05/24/2024,4225
05/17/2024,4730
05/10/2024,4135
05/3/2024,4468
04/26/2024,3918
04/19/2024,5179
04/12/2024,4726
04/5/2024,2708
03/29/2024,4022
03/22/2024,4181
03/15/2024,4881
03/8/2024,3147
03/1/2024,4637
02/23/2024,4728
02/16/2024,4965
02/9/2024,4347
02/2/2024,3596
01/26/2024,3894
01/19/2024,4434
01/12/2024,5029
01/5/2024,3322
12/29/2023,5292
12/22/2023,3915
12/15/2023,4121
12/8/2023,3771
12/1/2023,4339
11/24/2023,4755
11/17/2023,4786
11/10/2023,4889
11/3/2023,4525
10/27/2023,4897
10/20/2023,4833
10/13/2023,5301
10/6/2023,3067
09/29/2023,4956
09/22/2023,4012
09/15/2023,5067
09/8/2023,3090
09/1/2023,4932
08/25/2023,4528
08/18/2023,4258
08/11/2023,4599
08/4/2023,2360
07/28/2023,5283
07/21/2023,4591
07/14/2023,3814
07/7/2023,2144
06/30/2023,3901
06/23/2023,5338
06/16/2023,4543
06/9/2023,3270
06/2/2023,2475
05/26/2023,4915
05/19/2023,4549
05/12/2023,4310
05/5/2023,2876
04/28/2023,4737
04/21/2023,4819
04/14/2023,4571
04/7/2023,2727
03/31/2023,5239
03/24/2023,4584
03/17/2023,4932
03/10/2023,5027
03/3/2023,3362
02/24/2023,5629
02/17/2023,4597
02/10/2023,3146
02/3/2023,2900
01/27/2023,3492
01/20/2023,4707
01/13/2023,3872
01/6/2023,2137
12/30/2022,4207
12/23/2022,3465
12/16/2022,4360
12/9/2022,4316
12/2/2022,3430
11/25/2022,4948
11/18/2022,4242
11/11/2022,3862
11/4/2022,3521
10/28/2022,3925
10/21/2022,5129
10/14/2022,4138
10/7/2022,2872
09/30/2022,4551
09/23/2022,4646
09/16/2022,3540
09/9/2022,3515
09/2/2022,3433
08/26/2022,3967
08/19/2022,4177
08/12/2022,5000
08/5/2022,2110
07/29/2022,3512
07/22/2022,4548
07/15/2022,3759
07/8/2022,3024
07/1/2022,2612
06/24/2022,3380
06/17/2022,3572
06/10/2022,3725
06/3/2022,2232
05/27/2022,3990
05/20/2022,4341
05/13/2022,3520
05/6/2022,2879
04/29/2022,3574
04/22/2022,3721
04/15/2022,4270
04/8/2022,2180
04/1/2022,3693
03/25/2022,2988
03/18/2022,3844
03/11/2022,2936
03/4/2022,2422
02/25/2022,3796
02/18/2022,2686
02/11/2022,2271
02/4/2022,3100
01/28/2022,2376
01/21/2022,2796
01/14/2022,2610
01/7/2022,1955
12/31/2021,2554
12/24/2021,2929
12/17/2021,2879
12/10/2021,3645
12/3/2021,2270
11/26/2021,2704
11/19/2021,2605
11/12/2021,3626
11/5/2021,3053
10/29/2021,2925
10/22/2021,2787
10/15/2021,3060
10/8/2021,2514
10/1/2021,2114
09/24/2021,3020
09/17/2021,2809
09/10/2021,2624
09/3/2021,2342
08/27/2021,3040
08/20/2021,2812
08/13/2021,3431
08/6/2021,2663
07/30/2021,1904
07/23/2021,2489
07/16/2021,2463
07/9/2021,4025
07/2/2021,2628
06/25/2021,3717
06/18/2021,3651
06/11/2021,3884
06/4/2021,2931
05/28/2021,2544
05/21/2021,3433
05/14/2021,3306
05/7/2021,1796
04/30/2021,4122
04/23/2021,2541
04/16/2021,2548
04/9/2021,2579
04/2/2021,3434
03/26/2021,3174
03/19/2021,2481
03/12/2021,2520
03/5/2021,2633
02/26/2021,2351
02/19/2021,2314
02/12/2021,3862
02/5/2021,2617
01/29/2021,3483
01/22/2021,3355
01/15/2021,2251
01/8/2021,3011
01/1/2021,3632
12/25/2020,3625
12/18/2020,3099
12/11/2020,2627
12/4/2020,1834
11/27/2020,3456
11/20/2020,2831
11/13/2020,2748
11/6/2020,2765
10/30/2020,2265
10/23/2020,3460
10/16/2020,3036
10/9/2020,2135
10/2/2020,2659
09/25/2020,3512
09/18/2020,3022
09/11/2020,2595
09/4/2020,2944
08/28/2020,3002
08/21/2020,3363
08/14/2020,2137
08/7/2020,3143
07/31/2020,2819
07/24/2020,3211
07/17/2020,2993
07/10/2020,2543
07/3/2020,2387
06/26/2020,3092
06/19/2020,3157
06/12/2020,2462
06/5/2020,2439
05/29/2020,2794
05/22/2020,3176
05/15/2020,3239
05/8/2020,3525
05/1/2020,3546
04/24/2020,3302
04/17/2020,2890
04/10/2020,3436
04/3/2020,2833
03/27/2020,3155
03/20/2020,3850
03/13/2020,4378
03/6/2020,3410
02/28/2020,4154
02/21/2020,3657
02/14/2020,3564
02/7/2020,2970
01/31/2020,3413
01/24/2020,3509
01/17/2020,3414
01/10/2020,3481
01/3/2020,3064
12/27/2019,4462
12/20/2019,3397
12/13/2019,3633
12/6/2019,3400
11/29/2019,3135
11/22/2019,3480
11/15/2019,3027
11/8/2019,2633
11/1/2019,2371
10/25/2019,3327
10/18/2019,3683
10/11/2019,3248
10/4/2019,3401
09/27/2019,2867
09/20/2019,2983
09/13/2019,3175
09/6/2019,3295
08/30/2019,3061
08/23/2019,3019
08/16/2019,2803
