Weekly U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCRIMUS2&f=W
15:31:17 GMT+0200 (hora de verano de Europa central)
Data source: U.S. Energy Information Administration
Week of,Weekly U.S. Imports of Crude Oil Thousand Barrels per Day
08/30/2024,5792
08/23/2024,6560
08/16/2024,6652
08/9/2024,6285
08/2/2024,6224
07/26/2024,6953
07/19/2024,6871
07/12/2024,7037
07/5/2024,6760
06/28/2024,6547
06/21/2024,6611
06/14/2024,7054
06/7/2024,8304
05/31/2024,7058
05/24/2024,6769
05/17/2024,6663
05/10/2024,6744
05/3/2024,6969
04/26/2024,6772
04/19/2024,6497
04/12/2024,6461
04/5/2024,6434
03/29/2024,6618
03/22/2024,6702
03/15/2024,6278
03/8/2024,5491
03/1/2024,7222
02/23/2024,6385
02/16/2024,6654
02/9/2024,6470
02/2/2024,6907
01/26/2024,5605
01/19/2024,5580
01/12/2024,7420
01/5/2024,6241
12/29/2023,6895
12/22/2023,6276
12/15/2023,6750
12/8/2023,6517
12/1/2023,7508
11/24/2023,5833
11/17/2023,6529
11/10/2023,6373
11/3/2023,6394
10/27/2023,6425
10/20/2023,6013
10/13/2023,5942
10/6/2023,6329
09/29/2023,6215
09/22/2023,7229
09/15/2023,6517
09/8/2023,7582
09/1/2023,6770
08/25/2023,6617
08/18/2023,6933
08/11/2023,7158
08/4/2023,6682
07/28/2023,6668
07/21/2023,6367
07/14/2023,7174
07/7/2023,5880
06/30/2023,7038
06/23/2023,6580
06/16/2023,6161
06/9/2023,6381
06/2/2023,6400
05/26/2023,7217
05/19/2023,5850
05/12/2023,6860
05/5/2023,5553
04/28/2023,6396
04/21/2023,6376
04/14/2023,6294
04/7/2023,6193
03/31/2023,7144
03/24/2023,5325
03/17/2023,6172
03/10/2023,6216
03/3/2023,6271
02/24/2023,6208
02/17/2023,6326
02/10/2023,6232
02/3/2023,7058
01/27/2023,7283
01/20/2023,5905
01/13/2023,6861
