Noticia_EIA,fechas_noticia_EIA
U.S. gasoline prices heading into Labor Day weekend are lower than last year,2024-08-29
"Permian production forecast growth driven by well productivity, pipeline capacity",2024-08-21
Public company proved oil and natural gas reserves were mostly unchanged in 2023,2024-08-12
Canada's crude oil has an increasingly significant role in U.S. refineries,2024-08-01
Energy trade value between Mexico and the United States fell in 2023 on lower fuel prices,2024-07-15
U.S. energy production exceeded consumption by record amount in 2023,2024-06-26
U.S. refinery capacity increased 2% in 2023,2024-06-18
EIA expands coverage of crude oil and natural gas production with regional forecast,2024-06-12
Red Sea disruptions increase oil flows around Cape of Good Hope,2024-06-11
Lower energy prices reduced the trade value between Canada and the United States in 2023,2024-06-03
U.S. gasoline prices ahead of Memorial Day weekend are 1% higher than last year,2024-05-23
Forecast strong hurricane season presents risk for U.S. oil and natural gas industry,2024-05-22
Guyana becomes key contributor to global crude oil supply growth,2024-05-21
China imported record amounts of crude oil in 2023,2024-04-16
EIA increases oil price forecast following OPEC+ production cut extension,2024-03-21
M&A activity in 2023 furthers consolidation of U.S. crude oil and natural gas firms,2024-03-19
U.S. crude oil exports reached a record in 2023,2024-03-18
"United States produces more crude oil than any country, ever",2024-03-11
More productive wells spur U.S. crude oil production higher,2024-03-05
Crude oil processing in China hit a record high in 2023,2024-03-04
United Arab Emirates invests to meet 2027 crude oil production capacity goal,2024-02-05
Red Sea attacks increase shipping times and freight rates,2024-02-01
Rise in relatively denser crude oil production drives U.S. growth,2024-01-23
EIA expects average U.S. gasoline and diesel prices to decrease in 2024 and 2025,2024-01-17
EIA expects relatively flat crude oil prices in 2024 and 2025,2024-01-10
Canada’s Trans Mountain Pipeline expansion reportedly 95% complete,2024-01-08
U.S. Henry Hub natural gas prices in 2023 were the lowest since mid-2020,2024-01-04
Brent crude oil prices averaged $19 per barrel less in 2023 than 2022,2024-01-02
U.S. electric capacity mix shifts from fossil fuels to renewables in AEO2023,2023-12-28
U.S. crude oil exports reached a record high in first half of 2023,2023-12-20
Red Sea chokepoints are critical for international oil and natural gas flows,2023-12-04
U.S. gasoline prices decline amid lower gasoline demand and falling crude oil prices,2023-11-22
The Strait of Hormuz is the world's most important oil transit chokepoint,2023-11-21
Venezuela's heavy crude oil output increases are limited following U.S. sanctions relief,2023-10-23
"High Permian well productivity, crude oil prices drive U.S. natural gas production growth",2023-10-18
U.S. crude oil exports reached a record high in first half of 2023,2023-10-10
Kuwait's oil exports shift from crude oil to petroleum products,2023-09-26
OPEC+ production cuts drive up sour crude oil price around the world,2023-09-25
China imported record volumes of crude oil in the first half of 2023,2023-09-18
U.S. gasoline prices are on the rise heading into Labor Day,2023-08-31
Prices and higher well productivity drive up U.S. crude oil production forecast,2023-08-23
Higher energy prices push United States energy trade with Canada to record-high value,2023-08-14
"First-quarter capital spending by public U.S. oil companies up, cash from operations down",2023-08-10
Refinery capacity increased slightly for the first time since the COVID-19 pandemic,2023-07-25
EIA forecasts crude oil prices will increase through 2024 as demand rises above supply,2023-07-19
"U.S. gasoline inventories are rising, driven by East Coast market dynamics",2023-07-18
Crude oil and natural gas proved reserves held by public companies fell slightly in 2022,2023-07-11
Biofuels are displacing petroleum-based distillate fuel oil consumption on the West Coast,2023-07-10
Two counties in New Mexico account for 29% of Permian Basin crude oil production,2023-07-06
Nonfossil fuel energy sources accounted for 21% of U.S. energy consumption in 2022,2023-06-29
Energy trade between Mexico and the United States reached a record $81.9 billion in 2022,2023-06-28
U.S. diesel prices have fallen below prices from before Russia's invasion of Ukraine,2023-06-20
"Nigeria was the top crude oil producer in Africa, but disruptions threaten production",2023-06-15
Natural gas production in the Permian region established a new record in 2022,2023-06-13
U.S. gasoline prices are down from 2022 heading into Memorial Day weekend,2023-05-25
EIA expects lower crude oil prices for the second half of 2023 and for 2024,2023-05-22
Texas and New Mexico led U.S. crude oil production in 2022,2023-05-18
Beaumont refinery expansion boosts Gulf Coast petroleum refining capacity,2023-05-02
Petroleum production in Mexico stabilizes after years of decline,2023-04-20
U.S. electric capacity mix  shifts from fossil fuels to renewables in AEO2023,2023-04-13
"In 2022, U.S. crude oil exports increased to a new record, 3.6 million barrels a day",2023-03-30
EU’s ban on diesel fuel from Russia shifts trade patterns,2023-03-07
Domestic policy and geopolitics reduced China’s refinery activity in 2022,2023-02-21
EIA forecasts U.S. refinery utilization to average more than 90% in 2023 and 2024,2023-02-13
U.S. proved reserves of crude oil increased significantly in 2021,2023-02-01
U.S. crude oil production will increase to new records in 2023 and 2024,2023-01-25
EIA expects U.S. gasoline and diesel retail prices to decline in 2023 and 2024,2023-01-12
Crude oil prices forecast to decline beginning in the second half of 2023,2023-01-11
Crude oil prices increased in first-half 2022 and declined in second-half 2022,2023-01-04
Energy commodity prices in 2022 showed effects of Russia’s full-scale invasion of Ukraine,2023-01-03
Retail gasoline prices rose across the United States in 2021 as driving increased,2022-12-21
Europe is a key destination for Russia’s energy exports,2022-12-20
Crude oil prices rise above $100 per barrel after Russia’s further invasion into Ukraine,2022-12-19
Decline in drilled but uncompleted wells may limit future crude oil production growth,2022-10-26
As much as 15 million barrels of crude oil sold from the U.S. Strategic Petroleum Reserve,2022-10-24
"The United States produces lighter crude oil, imports heavier crude oil",2022-10-11
Number of drilled but uncompleted U.S. wells continues to decline from record in 2020,2022-10-07
China processed the least crude oil since early 2020 in second-quarter 2022,2022-10-05
Crude oil production in Texas’s Eagle Ford region has been increasing since February 2022,2022-08-26
Conflict in Libya since 2011 civil war has resulted in inconsistent crude oil production,2022-08-12
Energy production declined by record amounts in several states in 2020,2022-08-08
Several refining projects are scheduled in Asia and the Middle East,2022-08-02
Public U.S. oil producers saw higher revenues and higher operational costs during Q1 2022,2022-07-22
U.S. refinery capacity decreased during 2021 for second consecutive year,2022-06-29
EIA estimates show a decrease in global surplus crude oil production capacity in 2022,2022-06-24
Two new U.S. crude oil pipeline projects have been completed this year,2022-06-22
EIA expects nine new Gulf of Mexico natural gas and crude oil fields to start in 2022,2022-06-21
"EIA forecasts growing liquid fuels production in Brazil, Canada, and China through 2023",2022-06-17
119 publicly traded global oil and natural gas companies added proved reserves in 2021,2022-06-13
EIA expects high refinery margins to contribute to increasing fuel production this summer,2022-06-10
"Memorial Day real gasoline prices highest since 2012, near record levels",2022-05-27
Stronger U.S. dollar contributes to higher crude oil prices in international markets,2022-05-17
Natural gas production in the Bakken region grew while crude oil fell in 2021,2022-05-16
"In 2021, value of energy trade between the United States and Canada rose from 2020 lows",2022-05-09
"In 2021, the value of energy trade between the U.S. and Mexico reached a nine-year high",2022-05-06
U.S. oil producers increased capital expenditures and cash from operations in late 2021,2022-05-05
China processed record amounts of crude oil in 2021 but exported less gasoline and diesel,2022-04-28
Nearly all new U.S. crude oil and natural gas wells are horizontal or directional,2022-04-21
EIA expects summer U.S. real gasoline and diesel prices to be the highest since 2014,2022-04-19
Crude oil exports from other countries may pass through Russian infrastructure,2022-03-29
The United States imports more petroleum products than crude oil from Russia,2022-03-22
EIA expects crude oil prices higher than $100 per barrel in coming months,2022-03-16
Europe is a key destination for Russia’s energy exports,2022-03-14
Increased demand and low inventories drive U.S. distillate prices higher,2022-03-10
U.S. to release 30 million barrels of crude oil from its Strategic Petroleum Reserve,2022-03-08
Crude oil prices rise above $100 per barrel after Russia’s further invasion into Ukraine,2022-03-04
EIA expects U.S. petroleum trade to shift toward net imports during 2022,2022-02-18
U.S. crude oil production forecast to rise in 2022 and 2023 to record-high levels,2022-02-16
EIA forecasts OPEC production will grow in 2022 despite recent production outages in Libya,2022-01-28
Proved reserves of U.S. crude oil and lease condensate declined by 19% during 2020,2022-01-27
EIA expects U.S. fossil fuel production to reach new highs in 2023,2022-01-21
"In 2021, 14 petroleum liquids pipeline projects were completed in the United States",2022-01-19
EIA forecasts crude oil prices will fall in 2022 and 2023,2022-01-12
Retail gasoline prices rose across the United States in 2021 as driving increased,2022-01-05
Crude oil prices increased in 2021 as global crude oil demand outpaced supply,2022-01-04
Energy prices rose more than other commodities in 2021,2022-01-03
The U.S. exported slightly more petroleum than it imported in the first half of 2021,2021-12-27
"U.S. crude oil production fell by 8% in 2020, the largest annual decrease on record",2021-12-22
The Brent crude oil price decline on November 26 was among the largest in years,2021-12-10
Brazil was the only South American country to increase crude oil production in 2020,2021-12-06
More OPEC production and higher global natural gas prices widen crude oil price spreads,2021-12-03
"In 2020, the value of energy trade between the United States and Canada declined",2021-12-02
Recent legislation would reduce the U.S. Strategic Petroleum Reserve,2021-11-29
EIA forecasts crude oil prices will decline during 2022,2021-11-18
"Crude oil demand returns faster than supply, increasing prices and reducing inventories",2021-11-09
Added transnational oil pipeline capacity could reduce crude oil shipped by rail,2021-11-04
Crude oil and petroleum liquids production in Ecuador hit a 10-year low in 2020,2021-11-03
"Crude oil inventories in Cushing, Oklahoma, are down more than 40% from start of 2021",2021-09-21
The U.S. exported slightly more petroleum than it imported in the first half of 2021,2021-09-17
Hurricane Ida disrupted crude oil production and refining activity,2021-09-16
Number of drilled but uncompleted wells declines,2021-09-08
Six U.S. states accounted for over half of the primary energy produced in 2019,2021-08-31
New UAE-based crude oil futures contract introduced in March,2021-08-26
"Associated natural gas production declines in 2020, following three years of growth",2021-08-23
Iran’s crude oil production fell to an almost 40-year low in 2020,2021-08-12
Texas’s Midland Basin accounted for 15% of U.S. crude oil production in 2020,2021-08-10
U.S. petroleum consumption decreased to a 25-year low in 2020,2021-08-05
"OPEC+ agrees to crude oil production increases, but Brent crude oil prices remain high",2021-08-02
U.S. crude oil exports reached record levels in 2020 and remain high in 2021,2021-07-20
United States continued to lead global petroleum and natural gas production in 2020,2021-07-19
Brent crude oil price forecast to average $72 per barrel in the second half of 2021,2021-07-15
U.S. crude oil production efficiency increased only in the Bakken region in 2020,2021-07-13
Refinery closures decreased U.S. refinery capacity during 2020,2021-07-08
"U.S. fossil fuel consumption fell by 9% in 2020, the lowest level in nearly 30 years",2021-07-06
EIA’s updated liquids pipeline database shows 19 projects moving toward completion in 2021,2021-06-25
Growing global production limits crude oil price increases in the most recent forecast,2021-06-15
Production of crude oil and natural gas in New Mexico reached new record in March 2021,2021-06-14
EIA lowers its forecast of India’s oil demand because of rising COVID-19 cases,2021-05-26
Energy production in the United States fell by more than 5% in 2020,2021-05-06
"U.S. crude oil imports from OPEC are down, but imports from Canada remain high",2021-05-05
"U.S. energy imports declined in 2020, while exports remained largely unchanged",2021-04-27
Gulf of Mexico crude oil production will increase with new projects in 2021 and 2022,2021-04-14
U.S. gasoline prices have been rising with crude oil prices,2021-03-30
"For most of 2020, China's refineries processed more crude oil than U.S. refineries",2021-03-25
"U.S. LNG exports in EIA’s AEO2021 side cases vary with crude oil, natural gas prices",2021-03-22
EIA expects crude oil prices to rise through April because of lower OPEC production,2021-03-17
"U.S. crude oil production fell by 8% in 2020, the largest annual decrease on record",2021-03-09
Cold weather led to refinery shutdowns in U.S. Gulf Coast region,2021-03-01
