Fecha de publicación,Hora,Actual,Previsión,Anterior
11.09.2024,16:30,,,"-6,873M"
05.09.2024,17:00,"-6,873M","-0,600M","-0,846M"
28.08.2024,16:30,"-0,846M","-2,700M","-4,649M"
21.08.2024,16:30,"-4,649M","-2,000M","1,357M"
14.08.2024,16:30,"1,357M","-1,900M","-3,728M"
07.08.2024,16:30,"-3,728M","-1,600M","-3,436M"
31.07.2024,16:30,"-3,436M","-1,600M","-3,741M"
24.07.2024,16:30,"-3,741M","-2,600M","-4,870M"
17.07.2024,16:30,"-4,870M","-0,900M","-3,443M"
10.07.2024,16:30,"-3,443M","0,700M","-12,157M"
03.07.2024,16:30,"-12,157M","-0,400M","3,591M"
26.06.2024,16:30,"3,591M","-2,600M","-2,547M"
20.06.2024,17:00,"-2,547M","-2,800M","3,730M"
12.06.2024,16:30,"3,730M","-1,200M","1,233M"
05.06.2024,16:30,"1,233M","-2,100M","-4,156M"
30.05.2024,17:00,"-4,156M","-1,600M","1,825M"
22.05.2024,16:30,"1,825M","-2,400M","-2,508M"
15.05.2024,16:30,"-2,508M","-0,400M","-1,362M"
08.05.2024,16:30,"-1,362M","-1,430M","7,265M"
01.05.2024,16:30,"7,265M","-2,300M","-6,368M"
24.04.2024,16:30,"-6,368M","1,600M","2,735M"
17.04.2024,16:30,"2,735M","1,600M","5,841M"
10.04.2024,16:30,"5,841M","0,900M","3,210M"
03.04.2024,16:30,"3,210M","-0,300M","3,165M"
27.03.2024,16:30,"3,165M","-0,700M","-1,952M"
20.03.2024,16:30,"-1,952M","-0,900M","-1,536M"
13.03.2024,16:30,"-1,536M","0,900M","1,367M"
06.03.2024,17:30,"1,367M","2,400M","4,199M"
28.02.2024,17:30,"4,199M","3,100M","3,514M"
22.02.2024,18:00,"3,514M","3,879M","12,018M"
14.02.2024,17:30,"12,018M","3,300M","5,521M"
07.02.2024,17:30,"5,520M","1,700M","1,234M"
31.01.2024,17:30,"1,234M","-0,217M","-9,233M"
24.01.2024,17:30,"-9,233M","-2,150M","-2,492M"
18.01.2024,18:00,"-2,492M","-0,313M","1,338M"
10.01.2024,17:30,"1,338M","-0,675M","-5,503M"
04.01.2024,18:00,"-5,503M","-3,725M","-7,114M"
28.12.2023,18:00,"-7,114M","-2,704M","2,909M"
20.12.2023,17:30,"2,909M","-2,283M","-4,259M"
13.12.2023,17:30,"-4,259M","-0,650M","-4,632M"
06.12.2023,17:30,"-4,632M","-1,354M","1,609M"
29.11.2023,17:30,"1,609M","-0,933M","8,701M"
22.11.2023,17:30,"8,701M","1,160M","3,592M"
15.11.2023,17:30,"3,600M","1,793M","13,869M"
15.11.2023,17:29,"13,869M",,"0,774M"
01.11.2023,16:30,"0,774M","1,261M","1,371M"
25.10.2023,16:30,"1,371M","0,239M","-4,491M"
18.10.2023,16:30,"-4,491M","-0,300M","10,176M"
12.10.2023,17:00,"10,176M","0,492M","-2,224M"
04.10.2023,16:30,"-2,224M","-0,446M","-2,170M"
27.09.2023,16:30,"-2,170M","-1,320M","-2,135M"
20.09.2023,16:30,"-2,135M","-2,200M","3,954M"
13.09.2023,16:30,"3,954M","-1,912M","-6,307M"
07.09.2023,17:00,"-6,307M","-2,064M","-10,584M"
30.08.2023,16:30,"-10,584M","-3,267M","-6,135M"
23.08.2023,16:30,"-6,135M","-2,850M","-5,960M"
16.08.2023,16:30,"-5,960M","-2,320M","5,851M"
09.08.2023,16:30,"5,851M","0,567M","-17,049M"
02.08.2023,16:30,"-17,049M","-1,367M","-0,600M"
26.07.2023,16:30,"-0,600M","-2,348M","-0,708M"
19.07.2023,16:30,"-0,708M","-2,440M","5,946M"
12.07.2023,16:30,"5,946M","0,483M","-1,508M"
06.07.2023,17:00,"-1,508M","-0,983M","-9,603M"
28.06.2023,16:30,"-9,603M","-1,757M","-3,831M"
22.06.2023,17:00,"-3,831M","0,329M","7,919M"
14.06.2023,16:30,"7,919M","1,482M","-0,451M"
07.06.2023,16:30,"-0,451M","1,022M","4,488M"
01.06.2023,17:00,"4,488M","-1,101M","-12,456M"
24.05.2023,16:30,"-12,456M","-0,920M","5,040M"
17.05.2023,16:30,"5,040M","-0,920M","2,951M"
