Date,inventario_final_semanal
2024-07-31,433049.0
2024-07-24,436485.0
2024-07-17,440226.0
2024-07-10,445096.0
2024-07-03,448539.0
2024-06-26,460696.0
2024-06-20,457105.0
2024-06-12,459652.0
2024-06-05,455922.0
2024-05-30,454689.0
2024-05-22,458845.0
2024-05-15,457020.0
2024-05-08,459528.0
2024-05-01,460890.0
2024-04-24,453625.0
2024-04-17,459993.0
2024-04-10,457258.0
2024-04-03,448207.0
2024-03-27,448207.0
2024-03-20,445042.0
2024-03-13,446994.0
2024-03-06,448530.0
2024-02-28,447163.0
2024-02-22,442964.0
2024-02-14,439450.0
2024-02-07,427432.0
2024-01-31,421912.0
2024-01-24,420678.0
2024-01-18,429911.0
2024-01-10,432403.0
2024-01-04,431065.0
2023-12-28,436568.0
2023-12-20,443682.0
2023-12-13,440773.0
2023-12-06,445031.0
2023-11-29,449664.0
2023-11-22,448054.0
2023-11-15,439354.0
2023-11-15,439354.0
2023-11-01,421893.0
2023-10-25,421120.0
2023-10-18,419748.0
2023-10-12,424239.0
2023-10-04,414063.0
2023-09-27,416287.0
2023-09-20,418456.0
2023-09-13,420592.0
2023-09-07,416637.0
2023-08-30,422944.0
2023-08-23,433528.0
2023-08-16,439662.0
2023-08-09,445622.0
2023-08-02,439771.0
2023-07-26,456820.0
2023-07-19,457420.0
2023-07-12,458128.0
2023-07-06,452182.0
2023-06-28,453690.0
2023-06-22,463293.0
2023-06-14,467124.0
2023-06-07,459205.0
2023-06-01,459657.0
2023-05-24,455168.0
2023-05-17,467624.0
2023-05-10,462584.0
2023-05-03,459633.0
2023-04-26,460914.0
2023-04-19,465968.0
2023-04-12,469952.0
2023-04-05,469952.0
2023-03-29,473691.0
2023-03-22,481180.0
2023-03-15,480063.0
2023-03-08,478513.0
2023-03-01,480207.0
2023-02-23,479041.0
2023-02-15,471394.0
2023-02-08,455111.0
2023-02-01,452688.0
2023-01-25,448548.0
2023-01-19,448015.0
2023-01-11,439607.0
2023-01-05,420646.0
2022-12-29,418952.0
2022-12-21,418234.0
2022-12-14,424129.0
2022-12-07,413898.0
2022-11-30,419084.0
2022-11-23,431665.0
2022-11-16,435355.0
2022-11-09,440755.0
2022-11-02,436830.0
2022-10-26,439945.0
2022-10-19,437357.0
2022-10-13,439082.0
2022-10-05,429203.0
2022-09-28,430559.0
2022-09-21,430774.0
2022-09-14,429633.0
2022-09-08,427191.0
2022-08-31,418346.0
2022-08-24,421672.0
2022-08-17,424954.0
2022-08-10,432010.0
2022-08-03,426553.0
2022-07-27,422086.0
2022-07-20,426609.0
2022-07-13,427054.0
2022-07-07,423800.0
2022-06-29,415566.0
2022-06-29,415566.0
2022-06-15,418714.0
2022-06-08,416758.0
2022-06-02,414733.0
2022-05-25,419801.0
2022-05-18,420820.0
2022-05-11,424214.0
2022-05-04,415727.0
2022-04-27,414424.0
2022-04-20,421753.0
2022-04-13,421753.0
2022-04-06,412371.0
2022-03-30,409950.0
2022-03-23,413399.0
2022-03-16,415907.0
2022-03-09,411562.0
2022-03-02,413425.0
2022-02-24,416022.0
2022-02-16,411508.0
2022-02-09,410387.0
2022-02-02,415143.0
2022-01-26,416190.0
2022-01-20,413813.0
2022-01-12,413298.0
2022-01-05,417851.0
2021-12-29,423571.0
2021-12-22,423571.0
2021-12-15,428286.0
2021-12-08,432870.0
2021-12-01,433111.0
2021-11-24,434020.0
2021-11-17,433003.0
2021-11-10,435104.0
2021-11-03,434102.0
2021-10-27,430812.0
2021-10-20,426544.0
2021-10-14,426975.0
2021-10-06,420887.0
2021-09-29,418542.0
2021-09-22,413964.0
2021-09-15,417445.0
2021-09-09,423867.0
2021-09-01,425395.0
2021-08-25,432564.0
2021-08-18,435544.0
2021-08-11,438777.0
2021-08-04,439225.0
2021-07-28,435598.0
2021-07-21,439687.0
2021-07-14,437580.0
2021-07-08,445476.0
2021-06-30,452342.0
2021-06-23,459060.0
2021-06-16,466674.0
2021-06-09,474029.0
2021-06-03,479270.0
2021-05-26,484349.0
2021-05-19,486011.0
2021-05-12,484691.0
2021-05-05,485117.0
2021-04-28,493107.0
2021-04-21,493017.0
2021-04-14,492423.0
2021-04-07,501835.0
2021-03-31,501835.0
2021-03-24,502711.0
2021-03-17,500799.0
2021-03-10,498403.0
2021-03-03,484605.0
2021-02-24,463042.0
2021-02-18,461757.0
2021-02-10,469014.0
2021-02-03,475659.0
2021-01-27,476653.0
2021-01-22,476653.0
2021-01-13,482211.0
2021-01-06,499534.0
2020-12-30,499534.0
2020-12-23,499534.0
2020-12-16,500096.0
2020-12-09,503231.0
2020-12-02,488042.0
2020-11-25,488721.0
2020-11-18,489475.0
2020-11-12,488706.0
2020-11-04,484429.0
2020-10-28,492427.0
2020-10-21,488107.0
2020-10-15,489109.0
2020-10-07,492927.0
2020-09-30,492426.0
2020-09-23,494406.0
2020-09-16,496045.0
2020-09-10,500434.0
2020-09-02,498401.0
2020-08-26,507763.0
2020-08-19,512452.0
2020-08-12,514084.0
2020-08-05,518596.0
2020-07-29,525969.0
2020-07-22,536580.0
2020-07-15,531688.0
2020-07-08,533527.0
2020-07-01,533527.0
2020-06-24,540722.0
2020-06-17,539280.0
2020-06-10,538065.0
2020-06-03,532345.0
2020-05-28,534422.0
2020-05-20,526494.0
2020-05-13,531476.0
2020-05-06,532221.0
2020-04-29,527631.0
2020-04-22,518640.0
2020-04-15,484370.0
2020-04-08,484370.0
2020-04-01,469193.0
2020-03-25,455360.0
2020-03-18,453737.0
2020-03-11,451783.0
2020-03-04,444119.0
2020-02-26,443335.0
2020-02-20,442883.0
2020-02-12,442468.0
2020-02-05,435009.0
2020-01-29,431654.0
2020-01-23,428106.0
2020-01-15,428511.0
2020-01-08,431060.0
2020-01-03,431060.0
2019-12-27,429896.0
2019-12-18,446833.0
2019-12-11,447918.0
2019-12-04,447096.0
2019-11-27,451952.0
2019-11-20,450380.0
2019-11-14,449001.0
2019-11-06,446782.0
2019-10-30,438853.0
2019-10-23,433151.0
2019-10-17,434850.0
2019-10-09,425569.0
2019-10-02,422642.0
2019-09-25,419538.0
2019-09-18,417126.0
2019-09-11,416068.0
2019-09-05,422980.0
2019-08-28,427751.0
2019-08-21,437778.0
2019-08-14,440510.0
2019-08-07,438930.0
2019-07-31,436545.0
2019-07-24,445041.0
2019-07-17,455876.0
2019-07-10,458992.0
2019-07-03,468491.0
2019-06-26,469576.0
2019-06-19,482364.0
2019-06-12,485470.0
2019-06-05,483264.0
2019-05-30,476493.0
2019-05-22,476775.0
2019-05-15,472035.0
2019-05-08,466604.0
2019-05-01,470567.0
2019-04-24,455154.0
2019-04-17,455154.0
2019-04-10,456550.0
2019-04-03,449521.0
2019-03-27,442283.0
2019-03-20,439483.0
2019-03-13,449072.0
2019-03-06,452934.0
2019-02-27,445865.0
2019-02-21,454512.0
2019-02-13,450840.0
2019-02-06,447207.0
2019-01-30,445944.0
2019-01-24,445025.0
2019-01-16,437055.0
2019-01-09,439738.0
2019-01-04,439738.0
2018-12-28,441418.0
2018-12-19,441457.0
2018-12-12,441954.0
2018-12-06,443162.0
2018-11-28,450485.0
