Date,produccion_diaria_promedio,importacion_diaria_promedio,exportacion_diaria_promedio,inventario_final_semanal
08/30/2024,13300,5792,3756,418310
08/23/2024,13300,6560,3671,425183
08/16/2024,13400,6652,4045,426029
08/9/2024,13300,6285,3756,430678
08/2/2024,13400,6224,3638,429321
07/26/2024,13300,6953,4919,433049
07/19/2024,13300,6871,4186,436485
07/12/2024,13300,7037,3964,440226
07/5/2024,13300,6760,3999,445096
06/28/2024,13200,6547,4401,448539
06/21/2024,13200,6611,3910,460696
06/14/2024,13200,7054,4418,457105
06/7/2024,13200,8304,3188,459652
05/31/2024,13100,7058,4501,455922
05/24/2024,13100,6769,4225,454689
05/17/2024,13100,6663,4730,458845
05/10/2024,13100,6744,4135,457020
05/3/2024,13100,6969,4468,459528
04/26/2024,13100,6772,3918,460890
04/19/2024,13100,6497,5179,453625
04/12/2024,13100,6461,4726,459993
04/5/2024,13100,6434,2708,457258
03/29/2024,13100,6618,4022,451417
03/22/2024,13100,6702,4181,448207
03/15/2024,13100,6278,4881,445042
03/8/2024,13100,5491,3147,446994
03/1/2024,13200,7222,4637,448530
02/23/2024,13300,6385,4728,447163
02/16/2024,13300,6654,4965,442964
02/9/2024,13300,6470,4347,439450
02/2/2024,13300,6907,3596,427432
01/26/2024,13000,5605,3894,421912
01/19/2024,12300,5580,4434,420678
01/12/2024,13300,7420,5029,429911
01/5/2024,13200,6241,3322,432403
12/29/2023,13200,6895,5292,431065
12/22/2023,13300,6276,3915,436568
12/15/2023,13300,6750,4121,443682
12/8/2023,13100,6517,3771,440773
12/1/2023,13100,7508,4339,445031
11/24/2023,13200,5833,4755,449664
11/17/2023,13200,6529,4786,448054
11/10/2023,13200,6373,4889,439354
11/3/2023,13200,6394,4525,435762
10/27/2023,13200,6425,4897,421893
10/20/2023,13200,6013,4833,421120
10/13/2023,13200,5942,5301,419748
10/6/2023,13200,6329,3067,424239
09/29/2023,12900,6215,4956,414063
09/22/2023,12900,7229,4012,416287
09/15/2023,12900,6517,5067,418456
09/8/2023,12900,7582,3090,420592
09/1/2023,12800,6770,4932,416637
08/25/2023,12800,6617,4528,422944
08/18/2023,12800,6933,4258,433528
08/11/2023,12700,7158,4599,439662
08/4/2023,12600,6682,2360,445622
07/28/2023,12200,6668,5283,439771
07/21/2023,12200,6367,4591,456820
07/14/2023,12300,7174,3814,457420
07/7/2023,12300,5880,2144,458128
06/30/2023,12400,7038,3901,452182
06/23/2023,12200,6580,5338,453690
06/16/2023,12200,6161,4543,463293
06/9/2023,12400,6381,3270,467124
06/2/2023,12400,6400,2475,459205
05/26/2023,12200,7217,4915,459657
05/19/2023,12300,5850,4549,455168
05/12/2023,12200,6860,4310,467624
